Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	GFP_1 Spectral Count	GFP_2 Spectral Count	P8E2_1 Spectral Count	P8E2_2 Spectral Count	P8E2_T338I_1 Spectral Count	P8E2_T338I_2 Spectral Count	P8E2_T338M_1 Spectral Count	P8E2_T338M_2 Spectral Count	WT_1 Spectral Count	WT_2 Spectral Count	WT_T338I_1 Spectral Count	WT_T338I_2 Spectral Count	WT_T338M_1 Spectral Count	WT_T338M_2 Spectral Count	GFP_1 Unique Spectral Count	GFP_2 Unique Spectral Count	P8E2_1 Unique Spectral Count	P8E2_2 Unique Spectral Count	P8E2_T338I_1 Unique Spectral Count	P8E2_T338I_2 Unique Spectral Count	P8E2_T338M_1 Unique Spectral Count	P8E2_T338M_2 Unique Spectral Count	WT_1 Unique Spectral Count	WT_2 Unique Spectral Count	WT_T338I_1 Unique Spectral Count	WT_T338I_2 Unique Spectral Count	WT_T338M_1 Unique Spectral Count	WT_T338M_2 Unique Spectral Count	GFP_1 Total Spectral Count	GFP_2 Total Spectral Count	P8E2_1 Total Spectral Count	P8E2_2 Total Spectral Count	P8E2_T338I_1 Total Spectral Count	P8E2_T338I_2 Total Spectral Count	P8E2_T338M_1 Total Spectral Count	P8E2_T338M_2 Total Spectral Count	WT_1 Total Spectral Count	WT_2 Total Spectral Count	WT_T338I_1 Total Spectral Count	WT_T338I_2 Total Spectral Count	WT_T338M_1 Total Spectral Count	WT_T338M_2 Total Spectral Count	GFP_1 Intensity	GFP_2 Intensity	P8E2_1 Intensity	P8E2_2 Intensity	P8E2_T338I_1 Intensity	P8E2_T338I_2 Intensity	P8E2_T338M_1 Intensity	P8E2_T338M_2 Intensity	WT_1 Intensity	WT_2 Intensity	WT_T338I_1 Intensity	WT_T338I_2 Intensity	WT_T338M_1 Intensity	WT_T338M_2 Intensity	GFP_1 MaxLFQ Intensity	GFP_2 MaxLFQ Intensity	P8E2_1 MaxLFQ Intensity	P8E2_2 MaxLFQ Intensity	P8E2_T338I_1 MaxLFQ Intensity	P8E2_T338I_2 MaxLFQ Intensity	P8E2_T338M_1 MaxLFQ Intensity	P8E2_T338M_2 MaxLFQ Intensity	WT_1 MaxLFQ Intensity	WT_2 MaxLFQ Intensity	WT_T338I_1 MaxLFQ Intensity	WT_T338I_2 MaxLFQ Intensity	WT_T338M_1 MaxLFQ Intensity	WT_T338M_2 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0JNW5|UH1BL_HUMAN	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	1464	Homo sapiens	1:Experimental evidence at protein level	UHRF1-binding protein 1-like	1.0	0.999	6	277	277	277	26	21	18	25	25	14	21	21	15	21	16	17	21	16	26	21	18	25	25	14	21	21	15	21	16	17	21	16	26	21	18	25	25	14	21	21	15	21	16	17	21	16	983169.06	946487.2	1344985.8	1043849.0	1289264.6	982523.2	1127980.9	724170.25	908345.1	1127901.4	960093.1	849540.75	797710.9	690542.5	299519.4	342943.7	305326.03	354310.03	309043.4	341438.84	261921.53	255695.25	308939.44	406149.7	283065.06	325248.28	252801.94	280526.47	
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens	1:Experimental evidence at protein level	Shootin-1	1.0	0.999	8	172	172	172	8	2	14	9	17	11	14	13	11	13	14	16	19	11	8	2	14	9	17	11	14	13	11	13	14	16	19	11	8	2	14	9	17	11	14	13	11	13	14	16	19	11	385494.72	136195.97	554637.7	398194.2	828435.75	497356.5	1040718.25	387315.03	551891.1	266523.0	757502.2	570784.2	943043.25	420756.97	143974.36	92154.734	125134.08	105592.72	214245.19	119791.06	207917.73	99951.98	120267.25	103601.5	158193.3	118428.05	216617.19	94793.24	
sp|A0PJW6|TM223_HUMAN	A0PJW6	TM223_HUMAN	TMEM223	202	Homo sapiens	1:Experimental evidence at protein level	Transmembrane protein 223	0.9779	0.999	1	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9462.315	0.0	0.0	0.0	0.0	0.0	38130.402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9462.315	0.0	0.0	0.0	0.0	0.0	38130.402	
sp|A1A4S6|RHG10_HUMAN	A1A4S6	RHG10_HUMAN	ARHGAP10	786	Homo sapiens	1:Experimental evidence at protein level	Rho GTPase-activating protein 10	0.9778	0.999	1	3	3	3	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	13946.734	0.0	18388.357	0.0	20822.514	0.0	34921.406	0.0	0.0	0.0	0.0	0.0	19987.398	0.0	13946.734	0.0	18388.357	0.0	20822.514	0.0	34921.406	0.0	0.0	0.0	0.0	0.0	19987.398	0.0	
sp|A1L020|MEX3A_HUMAN	A1L020	MEX3A_HUMAN	MEX3A	520	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein MEX3A	1.0	0.999	3	24	24	24	9	0	2	3	5	0	3	0	0	0	0	0	2	0	9	0	2	3	5	0	3	0	0	0	0	0	2	0	9	0	2	3	5	0	3	0	0	0	0	0	2	0	78719.48	33177.266	21008.748	10921.456	89915.18	0.0	92434.64	0.0	0.0	0.0	27776.062	0.0	34217.35	0.0	39728.617	36110.723	22866.293	13885.249	45585.285	0.0	46513.9	0.0	0.0	0.0	30231.957	0.0	17061.463	0.0	
sp|A1L170|CA226_HUMAN	A1L170	CA226_HUMAN	C1orf226	272	Homo sapiens	1:Experimental evidence at protein level	Uncharacterized protein C1orf226	1.0	0.999	1	47	47	47	4	4	5	5	4	2	3	2	4	2	4	2	4	2	4	4	5	5	4	2	3	2	4	2	4	2	4	2	4	4	5	5	4	2	3	2	4	2	4	2	4	2	156311.28	318710.94	169748.06	321216.53	134371.14	226388.75	132992.3	168386.08	252908.23	192799.97	186806.34	163734.72	125036.555	144621.67	121369.79	165919.67	132976.12	158852.11	134371.14	175614.98	132992.3	168386.08	140998.9	155736.7	154118.52	163734.72	125036.555	144621.67	
sp|A1L390|PKHG3_HUMAN	A1L390	PKHG3_HUMAN	PLEKHG3	1219	Homo sapiens	1:Experimental evidence at protein level	Pleckstrin homology domain-containing family G member 3	1.0	0.999	9	163	163	163	13	12	12	11	15	16	14	13	6	12	8	12	8	11	13	12	12	11	15	16	14	13	6	12	8	12	8	11	13	12	12	11	15	16	14	13	6	12	8	12	8	11	422821.2	511396.25	490063.84	499936.25	550445.75	747705.2	577250.9	574248.44	437917.0	567315.56	532887.6	667616.75	495131.16	591692.94	87384.164	98067.16	106380.3	104864.04	106163.164	127317.336	101310.04	102677.945	103339.5	115432.65	122366.48	119192.08	112074.98	109561.82	
sp|A1X283|SPD2B_HUMAN	A1X283	SPD2B_HUMAN	SH3PXD2B	911	Homo sapiens	1:Experimental evidence at protein level	SH3 and PX domain-containing protein 2B	1.0	0.999	9	155	155	159	3	0	6	1	18	4	23	18	7	6	14	12	22	21	3	0	6	1	18	4	23	18	7	6	14	12	22	21	3	0	6	1	18	4	23	18	7	6	14	12	25	22	84882.09	0.0	116901.375	25413.26	272153.94	81131.4	457241.8	338258.03	99659.06	119161.91	285319.25	249104.42	536371.2	358418.0	90922.484	0.0	23737.17	13283.964	71181.59	47975.637	114277.04	122306.88	77405.93	78349.375	121779.305	108008.63	140063.42	135566.94	
sp|A1XBS5|FA92A_HUMAN	A1XBS5	FA92A_HUMAN	FAM92A	289	Homo sapiens	1:Experimental evidence at protein level	Protein FAM92A	1.0	0.999	2	11	11	11	2	1	0	2	1	1	0	0	0	1	0	1	0	2	2	1	0	2	1	1	0	0	0	1	0	1	0	2	2	1	0	2	1	1	0	0	0	1	0	1	0	2	43187.24	53915.57	51063.688	66081.445	51558.09	68686.74	53389.586	61349.78	50915.37	88861.09	70205.32	72659.49	44538.01	74310.25	43187.24	53915.57	51063.688	66081.445	51558.09	68686.74	43130.684	52004.38	50915.37	88861.09	57129.66	62176.375	38439.395	63885.22	
sp|A2A3K4|PTPC1_HUMAN	A2A3K4	PTPC1_HUMAN	PTPDC1	754	Homo sapiens	1:Experimental evidence at protein level	Protein tyrosine phosphatase domain-containing protein 1	0.9755	0.9989	1	4	4	4	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	20769.594	21037.17	27068.035	24442.963	0.0	26442.23	21991.41	23933.781	27649.61	29574.943	0.0	27319.73	28795.68	28897.37	20769.594	21037.17	27068.035	24442.963	0.0	26442.23	21991.41	23933.781	27649.61	29574.943	0.0	27319.73	28795.68	28897.37	
sp|A2AJT9|BCLA3_HUMAN	A2AJT9	BCLA3_HUMAN	BCLAF3	711	Homo sapiens	1:Experimental evidence at protein level	BCLAF1 and THRAP3 family member 3	1.0	0.999	6	58	58	58	4	3	6	5	7	4	3	3	3	3	1	6	6	4	4	3	6	5	7	4	3	3	3	3	1	6	6	4	4	3	6	5	7	4	3	3	3	3	1	6	6	4	284122.44	85123.41	158880.47	174030.84	253611.16	166916.4	261976.48	151688.86	90843.14	126222.02	75825.445	133254.25	214427.28	337363.3	58114.773	55054.41	56223.17	60468.656	70871.97	82454.59	67588.23	79338.17	55494.06	83710.016	67921.24	77605.44	56621.777	90911.52	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens	1:Experimental evidence at protein level	Neuroblastoma-amplified sequence	1.0	0.999	3	67	67	67	8	3	4	8	6	2	7	4	1	4	4	6	5	5	8	3	4	8	6	2	7	4	1	4	4	6	5	5	8	3	4	8	6	2	7	4	1	4	4	6	5	5	280815.5	151822.0	250495.84	206716.14	118530.234	271381.44	236426.98	216164.36	187114.36	191382.31	347280.22	271330.97	87952.16	221291.22	156691.36	90753.31	167235.27	104626.35	85989.31	180172.36	124182.08	125249.96	162461.52	119224.86	230775.23	150139.33	51966.195	146521.12	
sp|A2RTX5|SYTC2_HUMAN	A2RTX5	SYTC2_HUMAN	TARS3	802	Homo sapiens	1:Experimental evidence at protein level	Threonine--tRNA ligase 2, cytoplasmic	0.9417	0.9972	2	3	3	4	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	18903.758	0.0	17091.986	0.0	0.0	0.0	21104.27	0.0	18653.666	0.0	0.0	0.0	0.0	0.0	18903.758	0.0	17091.986	0.0	0.0	0.0	21104.27	0.0	18653.666	0.0	
sp|A2RU67|F234B_HUMAN	A2RU67	F234B_HUMAN	FAM234B	622	Homo sapiens	1:Experimental evidence at protein level	Protein FAM234B	0.978	0.999	1	39	39	39	3	4	3	3	2	2	1	3	4	2	2	3	4	3	3	4	3	3	2	2	1	3	4	2	2	3	4	3	3	4	3	3	2	2	1	3	4	2	2	3	4	3	70185.53	40866.117	63372.92	59474.996	76678.33	44399.523	58550.777	54974.348	62619.47	31785.78	59734.39	48537.332	88980.875	34808.523	70185.53	40866.117	63372.92	59474.996	76678.33	44399.523	58550.777	54974.348	62619.47	31785.78	59734.39	48537.332	88980.875	34808.523	
sp|A2RUB1|MEIOC_HUMAN	A2RUB1	MEIOC_HUMAN	MEIOC	952	Homo sapiens	2:Experimental evidence at transcript level	Meiosis-specific coiled-coil domain-containing protein MEIOC	1.0	0.999	2	24	24	24	0	0	0	0	4	2	4	2	0	0	2	1	5	4	0	0	0	0	4	2	4	2	0	0	2	1	5	4	0	0	0	0	4	2	4	2	0	0	2	1	5	4	0.0	0.0	19749.357	0.0	55484.047	53103.418	51626.383	51684.92	23630.904	28717.059	54508.617	45605.68	51022.727	31875.52	0.0	0.0	22342.598	0.0	30250.559	28938.572	27843.855	27278.234	26733.82	15391.248	29710.213	24606.76	26267.5	32957.12	
sp|A2RUB6|CCD66_HUMAN	A2RUB6	CCD66_HUMAN	CCDC66	948	Homo sapiens	1:Experimental evidence at protein level	Coiled-coil domain-containing protein 66	0.976	0.9989	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	17314.973	0.0	23188.117	0.0	0.0	0.0	0.0	0.0	16483.322	0.0	0.0	0.0	0.0	0.0	17314.973	0.0	23188.117	0.0	0.0	0.0	0.0	0.0	16483.322	0.0	
sp|A2VDJ0|T131L_HUMAN	A2VDJ0	T131L_HUMAN	TMEM131L	1609	Homo sapiens	1:Experimental evidence at protein level	Transmembrane protein 131-like	0.913	0.9958	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41551.887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens	1:Experimental evidence at protein level	Protein strawberry notch homolog 1	1.0	0.999	3	48	34	48	0	0	0	1	2	6	4	5	0	3	3	7	10	7	0	0	0	1	2	6	2	4	0	2	2	5	6	4	0	0	0	1	2	6	4	5	0	3	3	7	10	7	7959.5566	11178.809	15068.357	21525.352	106163.89	122200.8	100778.85	101799.67	82832.5	120867.05	117679.375	130212.414	160707.23	153008.08	19916.572	27971.852	15656.08	25676.912	41501.484	38598.46	38494.254	42858.0	30624.59	36779.17	46633.336	54738.863	64014.246	60855.56	
sp|A4D161|F221A_HUMAN	A4D161	F221A_HUMAN	FAM221A	298	Homo sapiens	1:Experimental evidence at protein level	Protein FAM221A	0.978	0.999	1	13	13	13	0	0	0	0	2	0	3	0	1	0	3	1	2	1	0	0	0	0	2	0	3	0	1	0	3	1	2	1	0	0	0	0	2	0	3	0	1	0	3	1	2	1	0.0	0.0	0.0	0.0	28672.639	0.0	28939.906	11419.84	20181.576	0.0	42245.113	21316.79	41594.46	10852.035	0.0	0.0	0.0	0.0	28672.639	0.0	28939.906	11419.84	20181.576	0.0	42245.113	21316.79	41594.46	10852.035	
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	747	Homo sapiens	1:Experimental evidence at protein level	WD repeat-containing protein 91	1.0	0.999	2	32	32	32	4	2	3	4	2	1	4	2	0	2	0	2	4	2	4	2	3	4	2	1	4	2	0	2	0	2	4	2	4	2	3	4	2	1	4	2	0	2	0	2	4	2	103057.45	73954.695	61249.91	98698.03	52655.273	61200.953	71733.05	53109.113	54788.645	67674.47	63867.87	37258.996	47234.72	71911.04	40816.273	46124.83	34989.47	42913.168	32513.293	38172.004	28404.281	32667.787	32692.281	42136.418	32241.53	37536.96	28509.229	36495.664	
sp|A4D1S0|KLRG2_HUMAN	A4D1S0	KLRG2_HUMAN	KLRG2	409	Homo sapiens	1:Experimental evidence at protein level	Killer cell lectin-like receptor subfamily G member 2	1.0	0.999	9	256	256	256	26	21	15	22	18	19	16	20	13	19	7	23	19	18	26	21	15	22	18	19	16	20	13	19	7	23	19	18	26	21	15	22	18	19	16	20	13	19	7	23	19	18	1712862.5	1071236.0	986193.56	1223331.4	1363757.2	1153703.9	1044831.5	1159815.1	895298.75	1023672.3	787655.06	880072.9	1006845.44	812115.75	215777.22	264140.2	236244.89	304962.6	250919.14	318837.38	204841.27	276211.53	243626.64	338312.3	211851.4	304409.25	225523.38	271957.88	
sp|A5PL33|KRBA1_HUMAN	A5PL33	KRBA1_HUMAN	KRBA1	1030	Homo sapiens	1:Experimental evidence at protein level	Protein KRBA1	1.0	0.999	5	40	40	40	8	2	1	5	4	6	1	3	0	2	2	1	2	3	8	2	1	5	4	6	1	3	0	2	2	1	2	3	8	2	1	5	4	6	1	3	0	2	2	1	2	3	135092.77	81189.46	127240.016	119821.53	67018.49	122854.95	77786.26	92694.64	64993.22	96616.375	93212.88	92436.93	77928.12	100140.875	50037.195	81189.46	61157.13	59576.066	53607.74	67820.44	40763.805	48494.41	50683.9	70683.82	63409.45	69576.516	39327.766	53609.242	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0	0.999	8	78	78	78	0	3	4	3	7	3	14	8	4	3	8	2	14	5	0	3	4	3	7	3	14	8	4	3	8	2	14	5	0	3	4	3	7	3	14	8	4	3	8	2	14	5	27063.098	47405.04	58005.305	61206.188	135792.39	52800.445	277254.25	172863.56	101467.74	42421.97	146658.6	73547.84	283346.66	141206.28	16795.084	32999.43	26184.746	23367.773	53896.793	52347.17	88141.54	111714.66	38260.59	42057.793	69345.45	52281.215	90568.27	84273.63	
sp|A6H8Y1|BDP1_HUMAN	A6H8Y1	BDP1_HUMAN	BDP1	2624	Homo sapiens	1:Experimental evidence at protein level	Transcription factor TFIIIB component B'' homolog	1.0	0.999	6	64	64	64	1	2	0	2	6	6	7	6	4	1	8	3	11	7	1	2	0	2	6	6	7	6	4	1	8	3	11	7	1	2	0	2	6	6	7	6	4	1	8	3	11	7	17676.762	68190.664	8352.452	80378.77	218922.3	197834.31	287805.62	204374.73	133056.48	129944.38	163960.17	154253.05	270472.25	193723.72	21006.508	44130.11	12253.418	54143.34	38239.465	34720.105	31040.066	43260.168	33856.0	35943.582	36717.33	39147.832	43913.504	50009.484	
sp|A6ND36|FA83G_HUMAN	A6ND36	FA83G_HUMAN	FAM83G	823	Homo sapiens	1:Experimental evidence at protein level	Protein FAM83G	0.975	0.9989	1	18	18	18	1	1	4	2	2	3	0	0	1	2	0	1	0	1	1	1	4	2	2	3	0	0	1	2	0	1	0	1	1	1	4	2	2	3	0	0	1	2	0	1	0	1	25550.549	24288.791	33922.97	35905.074	32331.924	42523.14	26630.357	24752.648	41533.156	51354.504	22643.918	41630.75	31018.645	39178.117	25550.549	24288.791	33922.97	35905.074	32331.924	42523.14	26630.357	24752.648	41533.156	51354.504	22643.918	41630.75	31018.645	39178.117	
